
Name,Equipment,Body Part,Description,Video_Link
Hanging Leg Raise,Pull-up bar,"Abs, hip flexors","Hang from a bar with legs straight; raise legs up until they form a 90-degree angle with your torso, then lower.",https://www.youtube.com/results?search_query=hanging+leg+raise+exercise+how+to
Lying Windshield Wipers,Bodyweight,"Obliques, core",Lie on your back with arms out for support and legs up; rotate legs side to side like windshield wipers while keeping shoulders on the ground.,https://www.youtube.com/results?search_query=windshield+wipers+exercise+how+to
Ab Wheel Rollout,Ab wheel,Core,"Kneel holding an ab wheel; roll it forward while keeping your back flat and core engaged, then pull back to the starting position.",https://www.youtube.com/results?search_query=ab+wheel+rollout+exercise+how+to
Cable Woodchopper,Cable machine,"Obliques, core","Attach a handle to a high cable; stand sideways and pull the handle diagonally across your body toward the opposite knee using your core, then return and repeat both sides.",https://www.youtube.com/results?search_query=cable+woodchopper+exercise+how+to
Jackknife,Bodyweight,Abdominals,"Lie flat with arms overhead and legs straight; bring arms and legs together by lifting both simultaneously, reaching hands toward your shins, then lower.",https://www.youtube.com/results?search_query=jackknife+exercise+how+to
Burpee,Bodyweight,"Full body, cardio","From standing, squat down, kick your feet back into a plank, do a push-up, jump feet forward to squat and explosively jump up.",https://www.youtube.com/results?search_query=burpee+exercise+how+to
Jumping Jack,Bodyweight,"Full body, cardio","Stand with arms at sides; jump feet out wide while raising arms overhead, then jump back to the starting position.",https://www.youtube.com/results?search_query=jumping+jack+exercise+how+to
Kettlebell Snatch,Kettlebell,Full body,"Swing a kettlebell between your legs, then drive through hips to propel it overhead in one motion finishing with the kettlebell overhead and arm straight.",https://www.youtube.com/results?search_query=kettlebell+snatch+exercise+how+to
Clean and Press,Barbell,Full body,"Lift the barbell from the floor to shoulder level (clean) using hip drive, then press it overhead; lower back to shoulders and then to the floor.",https://www.youtube.com/results?search_query=clean+and+press+exercise+how+to
Thruster,Barbell or dumbbells,Full body,"Hold weights at shoulder level, perform a full squat and then immediately drive up while pressing the weights overhead in one fluid movement.",https://www.youtube.com/results?search_query=thruster+exercise+how+to
Turkish Get-Up,Kettlebell,"Full body, core","Lie on your back holding a kettlebell overhead with one arm; stand up through a series of lunge and bridge positions while keeping the kettlebell overhead, then reverse back down.",https://www.youtube.com/results?search_query=turkish+get+up+exercise+how+to
Medicine Ball Slam,Medicine ball,"Full body, shoulders, core","Lift a medicine ball overhead and explosively slam it onto the ground, catching it on the rebound.",https://www.youtube.com/results?search_query=medicine+ball+slam+exercise+how+to
Battle Rope Slams,Battle ropes,"Full body, cardio","Hold the ends of battle ropes; raise both arms overhead and slam the ropes down forcefully, repeating rapidly.",https://www.youtube.com/results?search_query=battle+rope+slam+exercise+how+to
Farmer's Walk,Dumbbells or kettlebells,"Grip, shoulders, core",Pick up heavy weights in each hand and walk a set distance while keeping your torso tall and core engaged.,https://www.youtube.com/results?search_query=farmers+walk+exercise+how+to
